purchase_id,customer_id,product_id,category,purchased_at,quantity,rating,review,is_holdout
O0031,C0102,P0038,Cosmetics,2023-08-26,3,2,발림성이 뻑뻑하고 밀려서 못 쓰겠어요. 지성 피부에는 좀 자극이 있었어요. 향이 너무 강해서 쓰기 힘들었습니다. 다음엔 다른 제품 써보려고요.,0
O0032,C0151,P0327,PC_Peripherals,2023-08-26,1,2,가격 대비 마감이 너무 조악합니다. 다음엔 다른 제품 써보려고요.,0
O0033,C0192,P0397,PC_Peripherals,2023-08-29,1,4,가벼워서 장시간 써도 부담 없습니다. 클릭음이 조용해서 사무실에서 쓰기 딱이에요.,0
O0034,C0188,P0164,Cosmetics,2023-09-08,2,5,끈적임 없이 촉촉해서 여름에도 부담 없이 발라요. 발림성 좋고 흡수도 빨라서 아침에 쓰기 편해요. 트러블 때문에 계속 고민이었는데 확실히 나아진 느낌입니다. 배송 진짜 빨라요.,0
O0035,C0204,P0167,Cosmetics,2023-09-18,1,4,지성 피부인데 자극 없이 잘 맞았어요.,1
O0036,C0292,P0242,PC_Peripherals,2023-09-22,2,5,가벼워서 장시간 써도 부담 없습니다. 무선 이어폰 중에 이 가격대에서 이 정도면 훌륭하죠. 반응속도 빠르고 연결도 안정적이에요. 배송 진짜 빨라요. 🥰,0
O0037,C0274,P0169,Cosmetics,2023-09-27,1,4,끈적임 없이 촉촉해서 여름에도 부담 없이 발라요.,0
O0038,C0280,P0425,Healthwear,2023-09-29,1,4,디자인도 예쁘고 어디에 매치해도 잘 어울립니다.,0
O0039,C0129,P0345,PC_Peripherals,2023-10-13,1,5,,0
O0040,C0121,P0491,Healthwear,2023-10-15,2,5,포장 상태 깔끔하게 잘 왔습니다. 아치통증 걱정 덜었습니다. 진작 살 걸 그랬어요.,0
O0041,C0009,P0350,PC_Peripherals,2023-10-18,1,4,무난하게 좋습니다,0
O0042,C0016,P0046,Cosmetics,2023-10-23,2,2,각질에는 전혀 변화가 없네요. 재구매는 안 할 것 같아요.,0
O0043,C0292,P0147,Cosmetics,2023-10-23,2,5,진정 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요. 순하게 잘 맞아서 두 번째 구매입니다. 다 쓰면 또 살 것 같아요.,1
O0044,C0118,P0038,Cosmetics,2023-10-25,1,4,다크서클 때문에 계속 고민이었는데 확실히 나아진 느낌입니다. 발림성 좋고 흡수도 빨라서 아침에 쓰기 편해요. 재구매 의사 있습니다. 👍🏻,0
O0045,C0188,P0426,Healthwear,2023-10-27,1,5,디자인도 예쁘고 어디에 매치해도 잘 어울립니다. 정사이즈로 딱 맞았어요. 가족한테도 추천했어요.,0
O0046,C0192,P0472,Healthwear,2023-10-29,1,4,배송 빨라요 👍,0
O0047,C0188,P0104,Cosmetics,2023-11-07,1,4,끈적임 없이 촉촉해서 여름에도 부담 없이 발라요. 진정 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요. 라방에서 싸게 사서 더 만족스러워요. 다 쓰면 또 살 것 같아요.,0
O0048,C0025,P0038,Cosmetics,2023-11-10,1,5,건성 피부인데 자극 없이 잘 맞았어요. 가족한테도 추천했어요. ❤️,0
O0049,C0151,P0250,PC_Peripherals,2023-11-14,1,5,반응속도 빠르고 연결도 안정적이에요. 무게부담 때문에 바꿨는데 아주 만족합니다.,0
O0050,C0009,P0230,PC_Peripherals,2023-11-18,2,4,만족합니다,0
O0051,C0154,P0230,PC_Peripherals,2023-11-26,1,4,무난하게 좋습니다,0
O0052,C0009,P0306,PC_Peripherals,2023-12-01,1,2,돈 아까워요,0
O0053,C0183,P0592,Healthwear,2023-12-04,1,4,포장 상태 깔끔하게 잘 왔습니다. 칼발이라 신발 고르기 어려웠는데 이건 정말 편해요. 가볍고 통기성 좋아서 여름에 신기 좋네요. 재구매 의사 있습니다.,0
O0054,C0016,P0038,Cosmetics,2023-12-06,1,4,,0
O0055,C0264,P0164,Cosmetics,2023-12-13,1,4,민감성 피부인데 자극 없이 잘 맞았어요. 다음엔 다른 라인도 사보려고요.,0
O0056,C0154,P0387,PC_Peripherals,2023-12-17,1,3,손 큰 편이라 사이즈가 살짝 작게 느껴져요. 가격 대비 딱 그만큼입니다.,0
O0057,C0009,P0280,PC_Peripherals,2023-12-18,1,5,,0
O0058,C0047,P0029,Cosmetics,2023-12-20,1,1,발림성이 뻑뻑하고 밀려서 못 쓰겠어요. 모공에는 전혀 변화가 없네요.,0
O0059,C0044,P0035,Cosmetics,2023-12-21,5,5,라방에서 싸게 사서 더 만족스러워요. 펩타이드 들어간 제품 찾고 있었는데 딱이네요. 발림성 좋고 흡수도 빨라서 아침에 쓰기 편해요. 안티에이징 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요.,0
O0060,C0154,P0546,Healthwear,2023-12-27,1,4,런닝화로 매일 신고 있는데 발이 안 피곤해요. 쿠션감 좋아서 오래 걸어도 무릎이 편합니다. 재구매 의사 있습니다.,0
O0061,C0130,P0322,PC_Peripherals,2023-12-28,1,5,2.4GHz 무선 체감이 확실하네요.,0
O0062,C0215,P0052,Cosmetics,2023-12-31,3,5,추천합니다,0
O0063,C0255,P0449,Healthwear,2024-01-06,1,3,무난합니다,0
O0064,C0025,P0496,Healthwear,2024-01-11,1,5,라방에서 싸게 사서 더 만족스러워요. 뒤꿈치까짐 걱정 덜었습니다. 진작 살 걸 그랬어요. 런닝화로 매일 신고 있는데 발이 안 피곤해요.,0
O0065,C0047,P0038,Cosmetics,2024-01-17,1,4,끈적임 없이 촉촉해서 여름에도 부담 없이 발라요. EGF 들어간 제품 찾고 있었는데 딱이네요. 발림성 좋고 흡수도 빨라서 아침에 쓰기 편해요. 재구매 의사 있습니다. 👍,0
O0066,C0183,P0345,PC_Peripherals,2024-01-21,2,4,26000DPI 광학센서 체감이 확실하네요. 가벼워서 장시간 써도 부담 없습니다. 가족한테도 추천했어요.,0
O0067,C0009,P0280,PC_Peripherals,2024-01-24,1,4,라방에서 싸게 사서 더 만족스러워요. 클릭음이 조용해서 사무실에서 쓰기 딱이에요.,0
O0068,C0098,P0122,Cosmetics,2024-01-26,1,5,발림성 좋고 흡수도 빨라서 아침에 쓰기 편해요. 배송 빠르고 포장도 꼼꼼해서 좋았어요. 재구매 의사 있습니다.,0
O0069,C0107,P0522,Healthwear,2024-01-28,2,5,정사이즈로 딱 맞았어요. 농구화로 매일 신고 있는데 발이 안 피곤해요. 쟁여두려고 하나 더 담았습니다.,0
O0070,C0012,P0116,Cosmetics,2024-02-01,5,5,무난하게 좋습니다,0
O0071,C0270,P0494,Healthwear,2024-02-03,1,4,일상화로 매일 신고 있는데 발이 안 피곤해요. 가볍고 통기성 좋아서 여름에 신기 좋네요. 평발이라 신발 고르기 어려웠는데 이건 정말 편해요.,0
O0072,C0183,P0076,Cosmetics,2024-02-06,3,5,라방에서 싸게 사서 더 만족스러워요. 지성 피부인데 자극 없이 잘 맞았어요.,0
O0073,C0061,P0198,Cosmetics,2024-02-08,2,5,보습 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요.,0
O0074,C0061,P0037,Cosmetics,2024-02-10,1,5,잘 쓰고 있어요,0
O0075,C0121,P0430,Healthwear,2024-02-10,1,5,가볍고 통기성 좋아서 여름에 신기 좋네요. 쿠션감 좋아서 오래 걸어도 무릎이 편합니다.,0
O0076,C0255,P0129,Cosmetics,2024-02-14,2,4,끈적임 없이 촉촉해서 여름에도 부담 없이 발라요. 보습 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요. 건조함 때문에 계속 고민이었는데 확실히 나아진 느낌입니다. 가족한테도 추천했어요. 🥰,0
O0077,C0029,P0316,PC_Peripherals,2024-02-17,1,2,두 달 만에 채터링 생겼어요. 연결이 자꾸 끊겨서 스트레스입니다. 가격 생각하면 좀 아쉽네요.,0
O0078,C0151,P0472,Healthwear,2024-02-17,1,4,발볼압박 걱정 덜었습니다. 진작 살 걸 그랬어요.,0
O0079,C0270,P0466,Healthwear,2024-02-21,1,1,아치통증 때문에 샀는데 오히려 더 심해졌습니다. 사이즈가 작게 나와서 결국 반품했어요. 뒤꿈치가 까져서 못 신겠어요. 다음엔 다른 제품 써보려고요.,0
O0080,C0074,P0316,PC_Peripherals,2024-02-24,1,5,게이밍 마우스 중에 이 가격대에서 이 정도면 훌륭하죠. 26000DPI 광학센서 체감이 확실하네요. 다 쓰면 또 살 것 같아요.,0
O0081,C0134,P0267,PC_Peripherals,2024-02-25,1,4,만족합니다,0
O0082,C0209,P0070,Cosmetics,2024-02-29,1,5,세라마이드 들어간 제품 찾고 있었는데 딱이네요. 재구매 의사 있습니다. ❣️,0
O0083,C0162,P0316,PC_Peripherals,2024-03-14,2,5,그립감 좋고 손목 피로가 확실히 덜합니다. 클릭음이 조용해서 사무실에서 쓰기 딱이에요.,0
O0084,C0210,P0522,Healthwear,2024-03-15,1,5,디자인도 예쁘고 어디에 매치해도 잘 어울립니다. 정사이즈로 딱 맞았어요. 다 쓰면 또 살 것 같아요. 😊,0
O0085,C0029,P0532,Healthwear,2024-03-16,1,5,선물용으로도 괜찮을 만큼 포장이 잘 돼서 왔어요. 정사이즈로 딱 맞았어요. 발볼넓음이라 신발 고르기 어려웠는데 이건 정말 편해요. 다 쓰면 또 살 것 같아요.,0
O0086,C0108,P0502,Healthwear,2024-03-19,2,5,농구화로 매일 신고 있는데 발이 안 피곤해요. 디자인도 예쁘고 어디에 매치해도 잘 어울립니다.,0
O0087,C0116,P0472,Healthwear,2024-03-23,1,4,칼발이라 신발 고르기 어려웠는데 이건 정말 편해요. 디자인도 예쁘고 어디에 매치해도 잘 어울립니다. 배송 진짜 빨라요.,0
O0088,C0183,P0387,PC_Peripherals,2024-03-25,1,3,손 큰 편이라 사이즈가 살짝 작게 느껴져요. 성능은 괜찮은데 소프트웨어가 좀 불편하네요. 손땀은 좀 나아졌는데 마감이 아쉽습니다.,0
O0089,C0270,P0482,Healthwear,2024-03-25,1,4,디자인도 예쁘고 어디에 매치해도 잘 어울립니다. 쟁여두려고 하나 더 담았습니다. 👍,0
O0090,C0023,P0386,PC_Peripherals,2024-03-27,1,2,돈 아까워요,0
O0091,C0137,P0038,Cosmetics,2024-03-27,1,1,복합성 피부에는 좀 자극이 있었어요. 탄력저하에는 전혀 변화가 없네요.,0
O0092,C0270,P0560,Healthwear,2024-03-29,1,5,쿠션감 좋아서 오래 걸어도 무릎이 편합니다. 가볍고 통기성 좋아서 여름에 신기 좋네요.,0
O0093,C0072,P0578,Healthwear,2024-04-04,1,4,가볍고 통기성 좋아서 여름에 신기 좋네요. 재구매 의사 있습니다.,0
O0094,C0121,P0306,PC_Peripherals,2024-04-05,1,5,그립감 좋고 손목 피로가 확실히 덜합니다. 반응속도 빠르고 연결도 안정적이에요. 👍🏻,0
O0095,C0100,P0573,Healthwear,2024-04-06,1,5,발볼넓음이라 신발 고르기 어려웠는데 이건 정말 편해요.,0
O0096,C0100,P0164,Cosmetics,2024-04-08,2,5,가성비 좋네요,0
O0097,C0140,P0169,Cosmetics,2024-04-09,1,3,택배 박스 안에 완충재가 하나도 없더라고요. 향은 호불호 갈릴 것 같아요. 칙칙함 개선은 아직 잘 모르겠는데 발림성은 좋습니다. 가격 생각하면 용량이 살짝 아쉽네요.,1
O0098,C0270,P0578,Healthwear,2024-04-12,1,4,평발이라 신발 고르기 어려웠는데 이건 정말 편해요. 가볍고 통기성 좋아서 여름에 신기 좋네요. 배송 진짜 빨라요. 다 쓰면 또 살 것 같아요.,0
O0099,C0177,P0551,Healthwear,2024-04-13,1,1,뒤꿈치까짐 때문에 샀는데 오히려 더 심해졌습니다. 발볼이 좁아서 새끼발가락이 너무 아픕니다. 테이프가 다 떨어져서 왔는데 포장에 신경 좀 써주셨으면 해요.,1
O0100,C0239,P0321,PC_Peripherals,2024-04-13,1,3,성능은 괜찮은데 소프트웨어가 좀 불편하네요. 내구성은 좀 나아졌는데 마감이 아쉽습니다.,0
O0101,C0134,P0304,PC_Peripherals,2024-04-16,1,3,포장이 부실해서 아쉬웠습니다. 성능은 괜찮은데 소프트웨어가 좀 불편하네요. 기능은 무난한데 특별할 건 없어요. 재구매는 안 할 것 같아요.,0
O0102,C0129,P0058,Cosmetics,2024-04-17,1,4,배송 빠르고 포장도 꼼꼼해서 좋았어요. 민감 때문에 계속 고민이었는데 확실히 나아진 느낌입니다. 복합성 피부인데 자극 없이 잘 맞았어요.,0
O0103,C0157,P0496,Healthwear,2024-04-19,1,5,가볍고 통기성 좋아서 여름에 신기 좋네요. 쿠션감 좋아서 오래 걸어도 무릎이 편합니다.,0
O0104,C0243,P0230,PC_Peripherals,2024-04-26,1,4,,0
O0105,C0055,P0020,Cosmetics,2024-04-27,5,2,건성 피부에는 좀 자극이 있었어요. 다크서클에는 전혀 변화가 없네요. 향이 너무 강해서 쓰기 힘들었습니다. 택배 박스 안에 완충재가 하나도 없더라고요.,0
O0106,C0100,P0363,PC_Peripherals,2024-04-27,1,4,만족합니다,0
O0107,C0270,P0496,Healthwear,2024-04-27,1,5,디자인도 예쁘고 어디에 매치해도 잘 어울립니다. 주문하고 다음날 바로 도착했네요.,1
O0108,C0227,P0482,Healthwear,2024-04-28,1,5,평발이라 신발 고르기 어려웠는데 이건 정말 편해요. 쿠션감 좋아서 오래 걸어도 무릎이 편합니다. 쟁여두려고 하나 더 담았습니다.,0
O0109,C0128,P0345,PC_Peripherals,2024-04-29,1,5,,0
O0110,C0154,P0387,PC_Peripherals,2024-04-30,1,4,클릭음이 조용해서 사무실에서 쓰기 딱이에요. 배송 빠르고 포장도 꼼꼼해서 좋았어요. 🙂,0
O0111,C0130,P0084,Cosmetics,2024-05-01,1,5,순하게 잘 맞아서 두 번째 구매입니다. 유자추출물 들어간 제품 찾고 있었는데 딱이네요.,0
O0112,C0074,P0345,PC_Peripherals,2024-05-03,1,4,반응속도 빠르고 연결도 안정적이에요. 가벼워서 장시간 써도 부담 없습니다. 선물용으로도 괜찮을 만큼 포장이 잘 돼서 왔어요. 재구매 의사 있습니다.,0
O0113,C0076,P0398,PC_Peripherals,2024-05-05,1,5,키감 때문에 바꿨는데 아주 만족합니다. 재구매 의사 있습니다.,0
O0114,C0246,P0259,PC_Peripherals,2024-05-11,1,4,좋아요,0
O0115,C0227,P0306,PC_Peripherals,2024-05-12,1,3,보통이에요,0
O0116,C0225,P0407,Healthwear,2024-05-13,1,5,발볼넓음이라 신발 고르기 어려웠는데 이건 정말 편해요. 👍🏻,0
O0117,C0023,P0368,PC_Peripherals,2024-05-14,1,4,게이밍 키보드 중에 이 가격대에서 이 정도면 훌륭하죠. 클릭음이 조용해서 사무실에서 쓰기 딱이에요. 👍🏻,1
O0118,C0009,P0221,PC_Peripherals,2024-05-20,1,3,무난합니다,0
O0119,C0189,P0482,Healthwear,2024-05-22,1,5,장시간보행 피로 걱정 덜었습니다. 진작 살 걸 그랬어요. 🙂,0
O0120,C0009,P0230,PC_Peripherals,2024-05-24,1,5,가벼워서 장시간 써도 부담 없습니다. 게이밍 키보드 중에 이 가격대에서 이 정도면 훌륭하죠.,0
O0121,C0130,P0472,Healthwear,2024-05-25,1,5,정사이즈로 딱 맞았어요.,0
O0122,C0282,P0038,Cosmetics,2024-05-25,1,3,탄력저하 개선은 아직 잘 모르겠는데 발림성은 좋습니다. 배송이 생각보다 오래 걸렸네요. 반품 고민 중입니다.,0
O0123,C0154,P0345,PC_Peripherals,2024-05-26,2,5,가성비 좋네요,0
O0124,C0209,P0038,Cosmetics,2024-05-26,3,4,잘 쓰고 있어요,0
O0125,C0255,P0038,Cosmetics,2024-05-26,1,5,콜라겐 들어간 제품 찾고 있었는데 딱이네요. 다음엔 다른 라인도 사보려고요.,0
O0126,C0100,P0526,Healthwear,2024-05-27,1,4,쿠션감 좋아서 오래 걸어도 무릎이 편합니다. 쟁여두려고 하나 더 담았습니다. 🥰,0
O0127,C0121,P0482,Healthwear,2024-05-28,1,4,일상화로 매일 신고 있는데 발이 안 피곤해요. 다음엔 다른 라인도 사보려고요.,0
O0128,C0294,P0345,PC_Peripherals,2024-05-28,1,3,성능은 괜찮은데 소프트웨어가 좀 불편하네요. 손땀은 좀 나아졌는데 마감이 아쉽습니다.,0
O0129,C0074,P0394,PC_Peripherals,2024-05-31,1,3,가격 대비 딱 그만큼입니다.,0
O0130,C0108,P0169,Cosmetics,2024-06-03,1,5,순하게 잘 맞아서 두 번째 구매입니다. ❤️,0
O0131,C0072,P0590,Healthwear,2024-06-05,1,4,만족합니다,0
O0132,C0137,P0504,Healthwear,2024-06-07,1,5,아치통증 걱정 덜었습니다. 진작 살 걸 그랬어요.,0
O0133,C0107,P0462,Healthwear,2024-06-09,1,5,무난하게 좋습니다,0
O0134,C0016,P0038,Cosmetics,2024-06-10,1,5,복합성 피부인데 자극 없이 잘 맞았어요. ❣️,0
O0135,C0008,P0188,Cosmetics,2024-06-11,1,5,세라마이드 들어간 제품 찾고 있었는데 딱이네요. 보습 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요. 다 쓰면 또 살 것 같아요.,0
O0136,C0273,P0116,Cosmetics,2024-06-13,2,5,배송 빠르고 포장도 꼼꼼해서 좋았어요. 미백 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요. 쟁여두려고 하나 더 담았습니다.,0
O0137,C0009,P0345,PC_Peripherals,2024-06-16,1,3,기능은 무난한데 특별할 건 없어요. 가격 대비 딱 그만큼입니다. 성능은 괜찮은데 소프트웨어가 좀 불편하네요.,0
O0138,C0128,P0297,PC_Peripherals,2024-06-21,1,5,그립감 때문에 바꿨는데 아주 만족합니다.,0
O0139,C0079,P0306,PC_Peripherals,2024-06-23,1,5,게이밍 키보드 중에 이 가격대에서 이 정도면 훌륭하죠. 그립감 좋고 손목 피로가 확실히 덜합니다.,0
O0140,C0242,P0345,PC_Peripherals,2024-06-24,1,5,선물용으로도 괜찮을 만큼 포장이 잘 돼서 왔어요. 가벼워서 장시간 써도 부담 없습니다. 🥰,0
O0141,C0130,P0066,Cosmetics,2024-06-25,2,4,만족합니다,0
O0142,C0158,P0585,Healthwear,2024-06-26,1,5,워킹화로 매일 신고 있는데 발이 안 피곤해요. 쿠션감 좋아서 오래 걸어도 무릎이 편합니다. 발볼넓음이라 신발 고르기 어려웠는데 이건 정말 편해요.,0
O0143,C0237,P0581,Healthwear,2024-06-26,1,5,정사이즈로 딱 맞았어요.,0
O0144,C0184,P0369,PC_Peripherals,2024-06-28,1,3,손 큰 편이라 사이즈가 살짝 작게 느껴져요. 성능은 괜찮은데 소프트웨어가 좀 불편하네요.,0
O0145,C0008,P0038,Cosmetics,2024-06-29,1,5,복합성 피부인데 자극 없이 잘 맞았어요.,0
O0146,C0184,P0387,PC_Peripherals,2024-06-29,1,5,지연시간 때문에 바꿨는데 아주 만족합니다. 게이밍 마우스 중에 이 가격대에서 이 정도면 훌륭하죠.,0
O0147,C0209,P0296,PC_Peripherals,2024-06-30,1,5,클릭음이 조용해서 사무실에서 쓰기 딱이에요. 반응속도 빠르고 연결도 안정적이에요. 가벼워서 장시간 써도 부담 없습니다. 가족한테도 추천했어요. ❤️,0
O0148,C0139,P0345,PC_Peripherals,2024-07-01,1,5,26000DPI 광학센서 체감이 확실하네요. 그립감 좋고 손목 피로가 확실히 덜합니다. 쟁여두려고 하나 더 담았습니다.,0
O0149,C0113,P0015,Cosmetics,2024-07-04,2,4,가성비 좋네요,0
O0150,C0137,P0288,PC_Peripherals,2024-07-04,1,5,배송 빠르고 포장도 꼼꼼해서 좋았어요. 그립감 좋고 손목 피로가 확실히 덜합니다. 다음엔 다른 라인도 사보려고요. 🥰,0
O0151,C0008,P0322,PC_Peripherals,2024-07-05,1,5,무소음 클릭 체감이 확실하네요. 👍🏻,0
O0152,C0043,P0430,Healthwear,2024-07-05,1,5,선물용으로도 괜찮을 만큼 포장이 잘 돼서 왔어요. 워킹화로 매일 신고 있는데 발이 안 피곤해요. 디자인도 예쁘고 어디에 매치해도 잘 어울립니다. 다음엔 다른 라인도 사보려고요.,0
O0153,C0012,P0038,Cosmetics,2024-07-07,2,4,만족합니다,0
O0154,C0239,P0397,PC_Peripherals,2024-07-14,1,4,클릭음이 조용해서 사무실에서 쓰기 딱이에요. 배터리부족 때문에 바꿨는데 아주 만족합니다. 가족한테도 추천했어요.,0
O0155,C0274,P0296,PC_Peripherals,2024-07-16,1,5,굿굿,0
O0156,C0076,P0038,Cosmetics,2024-07-17,2,4,콜라겐 들어간 제품 찾고 있었는데 딱이네요. 선물용으로도 괜찮을 만큼 포장이 잘 돼서 왔어요. 다 쓰면 또 살 것 같아요.,0
O0157,C0284,P0022,Cosmetics,2024-07-20,1,5,순하게 잘 맞아서 두 번째 구매입니다. 가족한테도 추천했어요.,0
O0158,C0084,P0027,Cosmetics,2024-07-22,1,5,배송 빨라요 👍,0
O0159,C0129,P0170,Cosmetics,2024-07-23,1,3,각질 개선은 아직 잘 모르겠는데 발림성은 좋습니다. 가격 생각하면 좀 아쉽네요.,0
O0160,C0227,P0539,Healthwear,2024-07-25,1,4,디자인도 예쁘고 어디에 매치해도 잘 어울립니다. 가족한테도 추천했어요.,0
O0161,C0274,P0106,Cosmetics,2024-07-25,2,4,포장 상태 깔끔하게 잘 왔습니다. 끈적임 없이 촉촉해서 여름에도 부담 없이 발라요. 지성 피부인데 자극 없이 잘 맞았어요. 미백 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요. 가족한테도 추천했어요.,0
O0162,C0178,P0329,PC_Peripherals,2024-07-28,1,4,,0
O0163,C0183,P0397,PC_Peripherals,2024-07-28,1,5,반응속도 빠르고 연결도 안정적이에요. 배송 빠르고 포장도 꼼꼼해서 좋았어요. 가족한테도 추천했어요.,0
O0164,C0116,P0548,Healthwear,2024-07-31,1,4,주문하고 다음날 바로 도착했네요. 쿠션감 좋아서 오래 걸어도 무릎이 편합니다. 런닝화로 매일 신고 있는데 발이 안 피곤해요. 다 쓰면 또 살 것 같아요.,0
O0165,C0154,P0230,PC_Peripherals,2024-08-05,2,4,게이밍 키보드 중에 이 가격대에서 이 정도면 훌륭하죠. 배송 빠르고 포장도 꼼꼼해서 좋았어요. 다음엔 다른 라인도 사보려고요.,0
O0166,C0294,P0038,Cosmetics,2024-08-05,1,4,좋아요,0
O0167,C0222,P0345,PC_Peripherals,2024-08-06,2,3,손 큰 편이라 사이즈가 살짝 작게 느껴져요. 성능은 괜찮은데 소프트웨어가 좀 불편하네요.,0
O0168,C0176,P0084,Cosmetics,2024-08-07,2,5,미백 제품 여러 개 써봤는데 이게 제일 무난하고 좋네요. 순하게 잘 맞아서 두 번째 구매입니다. 다 쓰면 또 살 것 같아요.,1
O0169,C0274,P0129,Cosmetics,2024-08-07,2,4,추천합니다,0
O0170,C0282,P0038,Cosmetics,2024-08-10,3,5,배송 빠르고 포장도 꼼꼼해서 좋았어요. 지성 피부인데 자극 없이 잘 맞았어요. 탄력저하 때문에 계속 고민이었는데 확실히 나아진 느낌입니다. 가족한테도 추천했어요.,0
O0171,C0178,P0221,PC_Peripherals,2024-08-11,1,2,생각보다 무거워서 손목이 더 아파요. 키감 문제가 전혀 해결이 안 됩니다. 포장이 부실해서 아쉬웠습니다. 다음엔 다른 제품 써보려고요.,0
O0172,C0274,P0038,Cosmetics,2024-08-12,1,4,콜라겐 들어간 제품 찾고 있었는데 딱이네요. 다 쓰면 또 살 것 같아요.,0
