product_id,category,sub_category,brand,product_name,price,weight_g,size_range,target_foot_type,materials,concerns,tags,description
P0421,Healthwear,런닝화,솔라인,솔라인 플라이5 런닝화,208900,238,235-295,발볼넓음,엔지니어드 메쉬|러버 아웃솔|니트 어퍼|카본 플레이트,무릎충격|발땀,아치서포트|안정화|와이드라스트,발볼넓음 발에 맞춘 라스트를 적용한 런닝화. 엔지니어드 메쉬가 무릎충격 부담을 덜어줍니다.
P0422,Healthwear,워킹화,그라운드핏,그라운드핏 트랙7 워킹화,171900,273,225-280,발볼넓음,니트 어퍼|메모리폼 인솔,장시간보행 피로|아치통증,데일리|통기성|경량|와이드라스트,발볼넓음 발에 맞춘 라스트를 적용한 워킹화. 니트 어퍼가 장시간보행 피로 부담을 덜어줍니다.
P0423,Healthwear,런닝화,에어트랙,에어트랙 아치11 런닝화,131900,193,220-275,평발,EVA 미드솔|니트 어퍼|러버 아웃솔|젤 쿠션,아치통증,장거리|데일리|쿠션강화|경량,EVA 미드솔 구조로 아치통증을 잡아주는 런닝화입니다. 220-275mm 사이즈 운영.
P0424,Healthwear,런닝화,그라운드핏,그라운드핏 스텝6 런닝화,181900,224,225-280,평발,엔지니어드 메쉬|카본 플레이트,족저근막염,발목보호|아치서포트|충격흡수,"한 짝 224g의 런닝화, 엔지니어드 메쉬 채용으로 족저근막염을 개선했습니다."
P0425,Healthwear,일상화,아치핏,아치핏 트랙7 일상화,177900,338,230-290,발볼넓음,메모리폼 인솔|인조가죽|천연가죽,발땀|장시간보행 피로,아치서포트|발목보호|와이드라스트,데일리부터 장거리까지 커버하는 일상화. 메모리폼 인솔 조합으로 안정적인 착화감을 제공합니다.
P0426,Healthwear,일상화,데일리솔,데일리솔 스텝11 일상화,68900,357,225-280,발볼넓음,캔버스|스웨이드|천연가죽,발땀|뒤꿈치까짐|장시간보행 피로,논슬립|장거리|와이드라스트,발땀 때문에 신발 고르기 어려웠다면 캔버스 일상화를 추천합니다.
P0427,Healthwear,런닝화,런웨이브,런웨이브 플라이2 런닝화,234900,252,240-300,공용,젤 쿠션|엔지니어드 메쉬|카본 플레이트,무릎충격|아치통증,충격흡수|논슬립,데일리부터 장거리까지 커버하는 런닝화. 젤 쿠션 조합으로 안정적인 착화감을 제공합니다.
P0428,Healthwear,농구화,런웨이브,런웨이브 웨이브11 농구화,196900,374,230-290,발볼넓음,헤링본 아웃솔|미드컷 어퍼,미끄럼,충격흡수|쿠션강화|경량|와이드라스트,미끄럼 때문에 신발 고르기 어려웠다면 헤링본 아웃솔 농구화를 추천합니다.
P0429,Healthwear,런닝화,런웨이브,런웨이브 웨이브2 런닝화,133900,212,220-275,발볼넓음,니트 어퍼|엔지니어드 메쉬,아치통증|무릎충격,아치서포트|발목보호|통기성|경량|와이드라스트,"한 짝 212g의 런닝화, 니트 어퍼 채용으로 아치통증을 개선했습니다."
P0430,Healthwear,워킹화,포어풋,포어풋 플라이10 워킹화,125900,269,235-295,공용,고어텍스|EVA 미드솔|메모리폼 인솔,장시간보행 피로|미끄럼,아치서포트|쿠션강화|방수|경량,모든 발에 맞춘 라스트를 적용한 워킹화. 고어텍스가 장시간보행 피로 부담을 덜어줍니다.
P0431,Healthwear,워킹화,코트마스터,코트마스터 아치1 워킹화,87900,291,230-290,평발,메모리폼 인솔|고어텍스,발볼압박,데일리|통기성,데일리부터 장거리까지 커버하는 워킹화. 메모리폼 인솔 조합으로 안정적인 착화감을 제공합니다.
P0432,Healthwear,런닝화,포어풋,포어풋 스텝4 런닝화,249900,243,225-280,칼발,엔지니어드 메쉬|젤 쿠션,뒤꿈치까짐,안정화|통기성|데일리,"한 짝 243g의 런닝화, 엔지니어드 메쉬 채용으로 뒤꿈치까짐을 개선했습니다."
P0433,Healthwear,런닝화,코트마스터,코트마스터 스텝10 런닝화,202900,256,230-290,평발,엔지니어드 메쉬|EVA 미드솔|러버 아웃솔,발땀,장거리|데일리|논슬립,엔지니어드 메쉬 구조로 발땀을 잡아주는 런닝화입니다. 230-290mm 사이즈 운영.
P0434,Healthwear,농구화,그라운드핏,그라운드핏 웨이브7 농구화,248900,437,225-280,칼발,젤 쿠션|미드컷 어퍼|TPU 힐카운터|헤링본 아웃솔,발목불안|미끄럼,발목보호|아치서포트|안정화,"한 짝 437g의 농구화, 젤 쿠션 채용으로 발목불안을 개선했습니다."
P0435,Healthwear,농구화,아치핏,아치핏 코어4 농구화,120900,358,225-280,평발,TPU 힐카운터|에어 쿠션|미드컷 어퍼,미끄럼|발목불안|무게,쿠션강화|통기성|경량,평발 발에 맞춘 라스트를 적용한 농구화. TPU 힐카운터가 미끄럼 부담을 덜어줍니다.
P0436,Healthwear,런닝화,데일리솔,데일리솔 아치1 런닝화,249900,264,240-300,칼발,카본 플레이트|니트 어퍼,족저근막염|아치통증|발땀,충격흡수|데일리|발목보호,데일리부터 장거리까지 커버하는 런닝화. 카본 플레이트 조합으로 안정적인 착화감을 제공합니다.
P0437,Healthwear,농구화,코트마스터,코트마스터 코어8 농구화,251900,451,235-295,발볼넓음,미드컷 어퍼|합성피혁,미끄럼|착지충격,통기성|쿠션강화|논슬립|와이드라스트,데일리부터 장거리까지 커버하는 농구화. 미드컷 어퍼 조합으로 안정적인 착화감을 제공합니다.
P0438,Healthwear,런닝화,코트마스터,코트마스터 트랙5 런닝화,219900,222,240-300,공용,카본 플레이트|EVA 미드솔|니트 어퍼|러버 아웃솔,무릎충격|아치통증|족저근막염,논슬립|발목보호,데일리부터 장거리까지 커버하는 런닝화. 카본 플레이트 조합으로 안정적인 착화감을 제공합니다.
P0439,Healthwear,일상화,에어트랙,에어트랙 플라이8 일상화,145900,256,220-275,공용,메모리폼 인솔|천연가죽|러버 아웃솔,발볼압박|장시간보행 피로,아치서포트|데일리|장거리|경량,데일리부터 장거리까지 커버하는 일상화. 메모리폼 인솔 조합으로 안정적인 착화감을 제공합니다.
P0440,Healthwear,일상화,아치핏,아치핏 아치10 일상화,118900,298,235-295,발볼넓음,캔버스|스웨이드|인조가죽,발볼압박|뒤꿈치까짐,충격흡수|장거리|와이드라스트,캔버스 구조로 발볼압박을 잡아주는 일상화입니다. 235-295mm 사이즈 운영.
P0441,Healthwear,런닝화,제로드롭,제로드롭 아치3 런닝화,157900,234,240-300,공용,러버 아웃솔|엔지니어드 메쉬,무릎충격|뒤꿈치까짐,안정화|방수|통기성,"한 짝 234g의 런닝화, 러버 아웃솔 채용으로 무릎충격을 개선했습니다."
P0442,Healthwear,런닝화,코트마스터,코트마스터 트랙6 런닝화,116900,281,230-290,발볼넓음,EVA 미드솔|카본 플레이트|러버 아웃솔|니트 어퍼,무릎충격|족저근막염,아치서포트|논슬립|와이드라스트,EVA 미드솔 구조로 무릎충격을 잡아주는 런닝화입니다. 230-290mm 사이즈 운영.
P0443,Healthwear,농구화,코트마스터,코트마스터 아치6 농구화,155900,373,235-295,칼발,헤링본 아웃솔|젤 쿠션|TPU 힐카운터|에어 쿠션,미끄럼|착지충격,아치서포트|데일리|쿠션강화|경량,헤링본 아웃솔 구조로 미끄럼을 잡아주는 농구화입니다. 235-295mm 사이즈 운영.
P0444,Healthwear,농구화,코트마스터,코트마스터 아치6 농구화,287900,410,240-300,공용,에어 쿠션|미드컷 어퍼,무게,쿠션강화|데일리,데일리부터 장거리까지 커버하는 농구화. 에어 쿠션 조합으로 안정적인 착화감을 제공합니다.
P0445,Healthwear,일상화,제로드롭,제로드롭 코어2 일상화,175900,292,235-295,공용,러버 아웃솔|천연가죽|스웨이드|인조가죽,뒤꿈치까짐|발볼압박|발땀,아치서포트|통기성|경량,뒤꿈치까짐 때문에 신발 고르기 어려웠다면 러버 아웃솔 일상화를 추천합니다.
P0446,Healthwear,농구화,솔라인,솔라인 스텝5 농구화,248900,391,225-280,공용,젤 쿠션|미드컷 어퍼|헤링본 아웃솔,무게,발목보호|아치서포트,데일리부터 장거리까지 커버하는 농구화. 젤 쿠션 조합으로 안정적인 착화감을 제공합니다.
P0447,Healthwear,농구화,포어풋,포어풋 아치5 농구화,234900,383,235-295,발볼넓음,미드컷 어퍼|젤 쿠션|헤링본 아웃솔|합성피혁,발목불안,논슬립|아치서포트|와이드라스트,데일리부터 장거리까지 커버하는 농구화. 미드컷 어퍼 조합으로 안정적인 착화감을 제공합니다.
P0448,Healthwear,일상화,그라운드핏,그라운드핏 아치9 일상화,175900,278,230-290,평발,캔버스|천연가죽,뒤꿈치까짐,쿠션강화|방수|경량,데일리부터 장거리까지 커버하는 일상화. 캔버스 조합으로 안정적인 착화감을 제공합니다.
P0449,Healthwear,런닝화,제로드롭,제로드롭 웨이브2 런닝화,114900,223,230-290,공용,엔지니어드 메쉬|러버 아웃솔,아치통증|발땀|족저근막염,쿠션강화|통기성|논슬립,아치통증 때문에 신발 고르기 어려웠다면 엔지니어드 메쉬 런닝화를 추천합니다.
P0450,Healthwear,일상화,데일리솔,데일리솔 웨이브5 일상화,91900,346,235-295,발볼넓음,캔버스|스웨이드|천연가죽,장시간보행 피로|발볼압박,통기성|데일리|쿠션강화|와이드라스트,데일리부터 장거리까지 커버하는 일상화. 캔버스 조합으로 안정적인 착화감을 제공합니다.
P0451,Healthwear,일상화,솔라인,솔라인 웨이브9 일상화,96900,371,225-280,칼발,캔버스|천연가죽,발땀|발볼압박,쿠션강화|안정화,캔버스 구조로 발땀을 잡아주는 일상화입니다. 225-280mm 사이즈 운영.
P0452,Healthwear,워킹화,제로드롭,제로드롭 아치2 워킹화,129900,306,240-300,발볼넓음,논슬립 아웃솔|고어텍스|니트 어퍼,아치통증,방수|아치서포트|와이드라스트,아치통증 때문에 신발 고르기 어려웠다면 논슬립 아웃솔 워킹화를 추천합니다.
P0453,Healthwear,일상화,포어풋,포어풋 플라이2 일상화,169900,273,225-280,발볼넓음,인조가죽|천연가죽|캔버스|스웨이드,장시간보행 피로,충격흡수|방수|통기성|경량|와이드라스트,장시간보행 피로 때문에 신발 고르기 어려웠다면 인조가죽 일상화를 추천합니다.
P0454,Healthwear,일상화,스텝코어,스텝코어 트랙7 일상화,152900,290,225-280,발볼넓음,러버 아웃솔|스웨이드|인조가죽,장시간보행 피로,논슬립|충격흡수|경량|와이드라스트,데일리부터 장거리까지 커버하는 일상화. 러버 아웃솔 조합으로 안정적인 착화감을 제공합니다.
P0455,Healthwear,런닝화,그라운드핏,그라운드핏 스텝5 런닝화,112900,244,230-290,평발,러버 아웃솔|엔지니어드 메쉬|EVA 미드솔|젤 쿠션,뒤꿈치까짐|족저근막염,장거리|방수|안정화,"한 짝 244g의 런닝화, 러버 아웃솔 채용으로 뒤꿈치까짐을 개선했습니다."
P0456,Healthwear,워킹화,에어트랙,에어트랙 아치6 워킹화,185900,242,225-280,발볼넓음,메쉬|논슬립 아웃솔,미끄럼|아치통증,방수|논슬립|경량|와이드라스트,메쉬 구조로 미끄럼을 잡아주는 워킹화입니다. 225-280mm 사이즈 운영.
P0457,Healthwear,일상화,포어풋,포어풋 플라이10 일상화,107900,314,225-280,공용,인조가죽|러버 아웃솔|스웨이드,발볼압박|발땀|뒤꿈치까짐,장거리|논슬립,모든 발에 맞춘 라스트를 적용한 일상화. 인조가죽이 발볼압박 부담을 덜어줍니다.
P0458,Healthwear,런닝화,스텝코어,스텝코어 스텝7 런닝화,235900,276,220-275,공용,엔지니어드 메쉬|카본 플레이트|젤 쿠션|니트 어퍼,족저근막염|발땀|뒤꿈치까짐,데일리|통기성|논슬립,모든 발에 맞춘 라스트를 적용한 런닝화. 엔지니어드 메쉬가 족저근막염 부담을 덜어줍니다.
P0459,Healthwear,일상화,스텝코어,스텝코어 스텝12 일상화,99900,267,240-300,공용,천연가죽|러버 아웃솔|메모리폼 인솔|스웨이드,장시간보행 피로|발볼압박,데일리|충격흡수|경량,장시간보행 피로 때문에 신발 고르기 어려웠다면 천연가죽 일상화를 추천합니다.
P0460,Healthwear,일상화,데일리솔,데일리솔 코어1 일상화,141900,262,230-290,공용,캔버스|천연가죽,발볼압박|뒤꿈치까짐,발목보호|통기성|아치서포트|경량,발볼압박 때문에 신발 고르기 어려웠다면 캔버스 일상화를 추천합니다.
P0461,Healthwear,런닝화,스텝코어,스텝코어 트랙2 런닝화,92900,271,230-290,공용,니트 어퍼|젤 쿠션,족저근막염,논슬립|장거리,데일리부터 장거리까지 커버하는 런닝화. 니트 어퍼 조합으로 안정적인 착화감을 제공합니다.
P0462,Healthwear,농구화,에어트랙,에어트랙 아치3 농구화,277900,363,235-295,발볼넓음,TPU 힐카운터|미드컷 어퍼|헤링본 아웃솔,미끄럼|무게|발목불안,발목보호|안정화|경량|와이드라스트,데일리부터 장거리까지 커버하는 농구화. TPU 힐카운터 조합으로 안정적인 착화감을 제공합니다.
P0463,Healthwear,일상화,데일리솔,데일리솔 아치10 일상화,154900,324,230-290,공용,러버 아웃솔|메모리폼 인솔,발볼압박|발땀|장시간보행 피로,장거리|논슬립|통기성,러버 아웃솔 구조로 발볼압박을 잡아주는 일상화입니다. 230-290mm 사이즈 운영.
P0464,Healthwear,런닝화,에어트랙,에어트랙 아치2 런닝화,266900,243,220-275,공용,EVA 미드솔|엔지니어드 메쉬|젤 쿠션|카본 플레이트,무릎충격|족저근막염|발땀,안정화|발목보호|쿠션강화,모든 발에 맞춘 라스트를 적용한 런닝화. EVA 미드솔이 무릎충격 부담을 덜어줍니다.
P0465,Healthwear,런닝화,에어트랙,에어트랙 스텝4 런닝화,156900,228,240-300,공용,러버 아웃솔|젤 쿠션,무릎충격,방수|발목보호,모든 발에 맞춘 라스트를 적용한 런닝화. 러버 아웃솔이 무릎충격 부담을 덜어줍니다.
P0466,Healthwear,워킹화,제로드롭,제로드롭 웨이브2 워킹화,70900,245,240-300,발볼넓음,메쉬|논슬립 아웃솔,아치통증|장시간보행 피로|미끄럼,발목보호|데일리|충격흡수|경량|와이드라스트,발볼넓음 발에 맞춘 라스트를 적용한 워킹화. 메쉬가 아치통증 부담을 덜어줍니다.
P0467,Healthwear,일상화,솔라인,솔라인 플라이10 일상화,53900,311,240-300,공용,스웨이드|천연가죽,장시간보행 피로|발볼압박|발땀,쿠션강화|방수|통기성,"한 짝 311g의 일상화, 스웨이드 채용으로 장시간보행 피로를 개선했습니다."
P0468,Healthwear,농구화,런웨이브,런웨이브 웨이브8 농구화,204900,390,240-300,평발,에어 쿠션|합성피혁,미끄럼|발목불안,장거리|안정화|방수,데일리부터 장거리까지 커버하는 농구화. 에어 쿠션 조합으로 안정적인 착화감을 제공합니다.
P0469,Healthwear,런닝화,에어트랙,에어트랙 아치3 런닝화,193900,255,235-295,칼발,EVA 미드솔|카본 플레이트|니트 어퍼|엔지니어드 메쉬,무릎충격|발땀|족저근막염,안정화|충격흡수,무릎충격 때문에 신발 고르기 어려웠다면 EVA 미드솔 런닝화를 추천합니다.
P0470,Healthwear,농구화,에어트랙,에어트랙 아치4 농구화,269900,342,240-300,발볼넓음,미드컷 어퍼|헤링본 아웃솔|에어 쿠션|합성피혁,착지충격,발목보호|안정화|충격흡수|경량|와이드라스트,데일리부터 장거리까지 커버하는 농구화. 미드컷 어퍼 조합으로 안정적인 착화감을 제공합니다.
P0471,Healthwear,일상화,데일리솔,데일리솔 코어5 일상화,102900,335,220-275,공용,스웨이드|캔버스|러버 아웃솔,발땀,발목보호|안정화|장거리,"한 짝 335g의 일상화, 스웨이드 채용으로 발땀을 개선했습니다."
P0472,Healthwear,일상화,아치핏,아치핏 스텝9 일상화,146900,304,235-295,발볼넓음,캔버스|스웨이드|인조가죽,발땀|뒤꿈치까짐|발볼압박,통기성|안정화|논슬립|와이드라스트,캔버스 구조로 발땀을 잡아주는 일상화입니다. 235-295mm 사이즈 운영.
P0473,Healthwear,워킹화,코트마스터,코트마스터 플라이12 워킹화,133900,245,225-280,발볼넓음,메쉬|EVA 미드솔|메모리폼 인솔,발볼압박|장시간보행 피로,장거리|방수|경량|와이드라스트,"한 짝 245g의 워킹화, 메쉬 채용으로 발볼압박을 개선했습니다."
P0474,Healthwear,워킹화,코트마스터,코트마스터 아치7 워킹화,172900,313,235-295,칼발,논슬립 아웃솔|메쉬|EVA 미드솔,장시간보행 피로,아치서포트|안정화,"한 짝 313g의 워킹화, 논슬립 아웃솔 채용으로 장시간보행 피로를 개선했습니다."
P0475,Healthwear,농구화,그라운드핏,그라운드핏 플라이11 농구화,123900,333,225-280,평발,TPU 힐카운터|에어 쿠션|젤 쿠션|미드컷 어퍼,무게,발목보호|장거리|경량,TPU 힐카운터 구조로 무게를 잡아주는 농구화입니다. 225-280mm 사이즈 운영.
P0476,Healthwear,농구화,포어풋,포어풋 스텝5 농구화,244900,341,230-290,공용,헤링본 아웃솔|미드컷 어퍼|젤 쿠션|TPU 힐카운터,미끄럼|착지충격,논슬립|충격흡수|통기성|경량,"한 짝 341g의 농구화, 헤링본 아웃솔 채용으로 미끄럼을 개선했습니다."
P0477,Healthwear,일상화,그라운드핏,그라운드핏 웨이브6 일상화,51900,301,230-290,평발,캔버스|메모리폼 인솔|스웨이드|천연가죽,발땀|발볼압박,방수|아치서포트,"한 짝 301g의 일상화, 캔버스 채용으로 발땀을 개선했습니다."
P0478,Healthwear,워킹화,아치핏,아치핏 트랙7 워킹화,154900,292,240-300,발볼넓음,니트 어퍼|메쉬|논슬립 아웃솔,발볼압박|미끄럼,데일리|통기성|와이드라스트,데일리부터 장거리까지 커버하는 워킹화. 니트 어퍼 조합으로 안정적인 착화감을 제공합니다.
P0479,Healthwear,워킹화,아치핏,아치핏 웨이브2 워킹화,111900,324,225-280,평발,메쉬|EVA 미드솔|논슬립 아웃솔,미끄럼|장시간보행 피로,아치서포트|논슬립|통기성,데일리부터 장거리까지 커버하는 워킹화. 메쉬 조합으로 안정적인 착화감을 제공합니다.
P0480,Healthwear,농구화,스텝코어,스텝코어 트랙7 농구화,115900,417,220-275,칼발,에어 쿠션|헤링본 아웃솔|젤 쿠션,무게|발목불안|착지충격,충격흡수|쿠션강화|발목보호,데일리부터 장거리까지 커버하는 농구화. 에어 쿠션 조합으로 안정적인 착화감을 제공합니다.
P0481,Healthwear,일상화,그라운드핏,그라운드핏 웨이브2 일상화,128900,288,225-280,평발,캔버스|천연가죽,발볼압박,충격흡수|쿠션강화|경량,"한 짝 288g의 일상화, 캔버스 채용으로 발볼압박을 개선했습니다."
P0482,Healthwear,일상화,런웨이브,런웨이브 코어6 일상화,118900,258,225-280,평발,인조가죽|메모리폼 인솔,발땀|발볼압박|장시간보행 피로,쿠션강화|안정화|경량,데일리부터 장거리까지 커버하는 일상화. 인조가죽 조합으로 안정적인 착화감을 제공합니다.
P0483,Healthwear,런닝화,코트마스터,코트마스터 아치4 런닝화,106900,216,240-300,칼발,엔지니어드 메쉬|EVA 미드솔,족저근막염|무릎충격|발땀,데일리|안정화|경량,족저근막염 때문에 신발 고르기 어려웠다면 엔지니어드 메쉬 런닝화를 추천합니다.
P0484,Healthwear,일상화,코트마스터,코트마스터 스텝1 일상화,76900,265,220-275,평발,천연가죽|스웨이드|메모리폼 인솔,발볼압박,방수|충격흡수|발목보호|경량,"한 짝 265g의 일상화, 천연가죽 채용으로 발볼압박을 개선했습니다."
P0485,Healthwear,일상화,솔라인,솔라인 코어1 일상화,166900,366,235-295,공용,스웨이드|천연가죽|메모리폼 인솔,발볼압박|발땀,논슬립|안정화,"한 짝 366g의 일상화, 스웨이드 채용으로 발볼압박을 개선했습니다."
P0486,Healthwear,일상화,아치핏,아치핏 아치6 일상화,162900,315,225-280,발볼넓음,메모리폼 인솔|천연가죽,발볼압박|발땀|장시간보행 피로,충격흡수|안정화|와이드라스트,데일리부터 장거리까지 커버하는 일상화. 메모리폼 인솔 조합으로 안정적인 착화감을 제공합니다.
P0487,Healthwear,런닝화,데일리솔,데일리솔 코어2 런닝화,176900,237,240-300,공용,카본 플레이트|젤 쿠션,아치통증|뒤꿈치까짐|발땀,발목보호|논슬립,카본 플레이트 구조로 아치통증을 잡아주는 런닝화입니다. 240-300mm 사이즈 운영.
P0488,Healthwear,워킹화,포어풋,포어풋 웨이브2 워킹화,163900,274,220-275,평발,메모리폼 인솔|메쉬|EVA 미드솔,발볼압박|장시간보행 피로|아치통증,논슬립|쿠션강화|장거리|경량,"한 짝 274g의 워킹화, 메모리폼 인솔 채용으로 발볼압박을 개선했습니다."
P0489,Healthwear,일상화,스텝코어,스텝코어 코어7 일상화,65900,305,220-275,공용,메모리폼 인솔|캔버스,발볼압박|발땀,아치서포트|논슬립,모든 발에 맞춘 라스트를 적용한 일상화. 메모리폼 인솔이 발볼압박 부담을 덜어줍니다.
P0490,Healthwear,런닝화,솔라인,솔라인 스텝10 런닝화,154900,266,220-275,발볼넓음,엔지니어드 메쉬|젤 쿠션|EVA 미드솔,뒤꿈치까짐,충격흡수|아치서포트|통기성|와이드라스트,발볼넓음 발에 맞춘 라스트를 적용한 런닝화. 엔지니어드 메쉬가 뒤꿈치까짐 부담을 덜어줍니다.
P0491,Healthwear,워킹화,데일리솔,데일리솔 웨이브1 워킹화,127900,284,220-275,공용,논슬립 아웃솔|니트 어퍼|메모리폼 인솔,발볼압박|미끄럼|아치통증,아치서포트|장거리|데일리,논슬립 아웃솔 구조로 발볼압박을 잡아주는 워킹화입니다. 220-275mm 사이즈 운영.
P0492,Healthwear,일상화,에어트랙,에어트랙 코어1 일상화,91900,277,240-300,평발,캔버스|러버 아웃솔|인조가죽,뒤꿈치까짐|발땀,장거리|발목보호|논슬립|경량,평발 발에 맞춘 라스트를 적용한 일상화. 캔버스가 뒤꿈치까짐 부담을 덜어줍니다.
P0493,Healthwear,런닝화,제로드롭,제로드롭 코어2 런닝화,229900,251,240-300,평발,카본 플레이트|EVA 미드솔|니트 어퍼,무릎충격,충격흡수|데일리,데일리부터 장거리까지 커버하는 런닝화. 카본 플레이트 조합으로 안정적인 착화감을 제공합니다.
