product_id,category,sub_category,brand,product_name,price,volume_ml,target_skin_type,ingredients,concerns,tags,description
P0078,Cosmetics,진정,포뮬러9,포뮬러9 진정 토너 250ml,19900,250,민감성,마데카소사이드|티트리|어성초,트러블,비건|EWG그린|데일리,"민감성 피부를 위해 설계된 토너로, 마데카소사이드가 트러블을 케어합니다."
P0079,Cosmetics,진정,글로우랩,글로우랩 진정 세럼 40ml,59900,40,민감성,알란토인|아줄렌|마데카소사이드|티트리,민감|피지과다|트러블,EWG그린|가벼운제형|끈적임없음|쿨링,"알란토인을 핵심으로 배합한 진정 라인 세럼, 민감성 피부에 부담 없이 사용 가능합니다."
P0080,Cosmetics,미백,모이스트업,모이스트업 미백 앰플 30ml,54900,30,복합성,유자추출물|나이아신아마이드|비타민C,잡티|칙칙함,EWG그린|비건,"잡티 때문에 고민이라면, 유자추출물 함유 미백 앰플로 데일리 케어를 시작해보세요."
P0081,Cosmetics,진정,뷰티코드,뷰티코드 진정 토너 200ml,18900,200,민감성,어성초|티트리,홍조|민감|트러블,무향|논코메도제닉|비건,"민감성 피부를 위해 설계된 토너로, 어성초가 홍조를 케어합니다."
P0082,Cosmetics,보습,글로우랩,글로우랩 보습 로션 100ml,26900,100,공용,히알루론산|판테놀|아보카도오일|스쿠알란,건조함|각질,논코메도제닉|고보습|비건|무향,"모든 피부를 위해 설계된 로션으로, 히알루론산이 건조함을 케어합니다."
P0083,Cosmetics,보습,글로우랩,글로우랩 보습 크림 80ml,33900,80,건성,히알루론산|글리세린|판테놀|콜라겐,장벽손상|속당김,쿨링|더모테스트완료,히알루론산 성분이 장벽손상 고민을 집중 관리해주는 보습 크림입니다.
P0084,Cosmetics,미백,퓨어리즘,퓨어리즘 미백 앰플 30ml,73900,30,복합성,유자추출물|비타민C,기미,EWG그린|끈적임없음|비건,유자추출물 성분이 기미 고민을 집중 관리해주는 미백 앰플입니다.
P0085,Cosmetics,미백,아쿠아셀,아쿠아셀 미백 앰플 30ml,34900,30,공용,알부틴|글루타치온|나이아신아마이드|감초추출물,기미,비건|EWG그린|저자극,"기미 때문에 고민이라면, 알부틴 함유 미백 앰플로 데일리 케어를 시작해보세요."
P0086,Cosmetics,진정,리프팅데이,리프팅데이 진정 세럼 30ml,60900,30,공용,판테놀|프로폴리스|아줄렌|센텔라아시아티카,민감|홍조,논코메도제닉|쿨링,판테놀 성분이 민감 고민을 집중 관리해주는 진정 세럼입니다.
P0087,Cosmetics,미백,아쿠아셀,아쿠아셀 미백 세럼 40ml,49900,40,복합성,유자추출물|알부틴,기미,논코메도제닉|가벼운제형|저자극,유자추출물 성분이 기미 고민을 집중 관리해주는 미백 세럼입니다.
P0088,Cosmetics,보습,글로우랩,글로우랩 보습 세럼 30ml,49900,30,공용,판테놀|시어버터,건조함|각질,끈적임없음|더모테스트완료,"판테놀을 핵심으로 배합한 보습 라인 세럼, 모든 피부에 부담 없이 사용 가능합니다."
P0089,Cosmetics,미백,클리어핏,클리어핏 미백 토너 200ml,46900,200,공용,알부틴|유자추출물|트라넥삼산|나이아신아마이드,색소침착|잡티|칙칙함,빠른흡수|무향,"알부틴을 핵심으로 배합한 미백 라인 토너, 모든 피부에 부담 없이 사용 가능합니다."
P0090,Cosmetics,진정,퓨어리즘,퓨어리즘 진정 토너 300ml,29900,300,민감성,아줄렌|어성초,홍조,고보습|비건|데일리,300ml 용량의 토너. 아줄렌 배합으로 홍조 개선에 도움을 줍니다.
P0091,Cosmetics,보습,아쿠아셀,아쿠아셀 보습 세럼 40ml,38900,40,공용,시어버터|세라마이드|스쿠알란,속당김|건조함|장벽손상,빠른흡수|EWG그린,40ml 용량의 세럼. 시어버터 배합으로 속당김 개선에 도움을 줍니다.
P0092,Cosmetics,안티에이징,글로우랩,글로우랩 안티에이징 앰플 20ml,33900,20,공용,코엔자임Q10|콜라겐|아데노신,다크서클|주름|모공,비건|EWG그린,20ml 용량의 앰플. 코엔자임Q10 배합으로 다크서클 개선에 도움을 줍니다.
P0093,Cosmetics,미백,뷰티코드,뷰티코드 미백 토너 500ml,21900,500,복합성,감초추출물|비타민C,기미,끈적임없음|빠른흡수|더모테스트완료|무향,500ml 용량의 토너. 감초추출물 배합으로 기미 개선에 도움을 줍니다.
P0094,Cosmetics,보습,퓨어리즘,퓨어리즘 보습 크림 80ml,94900,80,건성,세라마이드|콜라겐|시어버터,장벽손상|건조함|속당김,고보습|저자극|더모테스트완료,"세라마이드를 핵심으로 배합한 보습 라인 크림, 건성 피부에 부담 없이 사용 가능합니다."
P0095,Cosmetics,진정,포뮬러9,포뮬러9 진정 마스크팩 23ml,2900,23,민감성,판테놀|어성초,트러블,저자극|무향|논코메도제닉|쿨링,"민감성 피부를 위해 설계된 마스크팩으로, 판테놀이 트러블을 케어합니다."
P0096,Cosmetics,미백,글로우랩,글로우랩 미백 앰플 20ml,80900,20,공용,나이아신아마이드|알부틴|유자추출물|트라넥삼산,잡티|색소침착,쿨링|끈적임없음,"나이아신아마이드를 핵심으로 배합한 미백 라인 앰플, 모든 피부에 부담 없이 사용 가능합니다."
P0097,Cosmetics,미백,모이스트업,모이스트업 미백 앰플 20ml,77900,20,공용,알부틴|나이아신아마이드|글루타치온,기미,더모테스트완료|EWG그린,20ml 용량의 앰플. 알부틴 배합으로 기미 개선에 도움을 줍니다.
P0098,Cosmetics,미백,센텔라랩,센텔라랩 미백 세럼 40ml,44900,40,복합성,비타민C|글루타치온,잡티|색소침착|기미,비건|무향|고보습|EWG그린,40ml 용량의 세럼. 비타민C 배합으로 잡티 개선에 도움을 줍니다.
P0099,Cosmetics,보습,리프팅데이,리프팅데이 보습 세럼 40ml,36900,40,복합성,글리세린|히알루론산|콜라겐|아보카도오일,각질|건조함|장벽손상,데일리|고보습,40ml 용량의 세럼. 글리세린 배합으로 각질 개선에 도움을 줍니다.
P0100,Cosmetics,안티에이징,센텔라랩,센텔라랩 안티에이징 세럼 50ml,32900,50,공용,세라마이드|펩타이드|코엔자임Q10,모공|다크서클,더모테스트완료|빠른흡수|데일리|쿨링,"모공 때문에 고민이라면, 세라마이드 함유 안티에이징 세럼으로 데일리 케어를 시작해보세요."
P0101,Cosmetics,보습,클리어핏,클리어핏 보습 크림 100ml,24900,100,민감성,세라마이드|콜라겐|스쿠알란|아보카도오일,장벽손상,데일리|가벼운제형|빠른흡수,"장벽손상 때문에 고민이라면, 세라마이드 함유 보습 크림으로 데일리 케어를 시작해보세요."
P0102,Cosmetics,보습,글로우랩,글로우랩 보습 토너 300ml,29900,300,공용,콜라겐|시어버터|스쿠알란,건조함,가벼운제형|끈적임없음|저자극|논코메도제닉,"콜라겐을 핵심으로 배합한 보습 라인 토너, 모든 피부에 부담 없이 사용 가능합니다."
